ad_id,source,ad_text,impressions,clicks,ctr,emotional_appeal,scarcity,social_proof,relevance
SYN00001,synthetic,Upgrade your everyday routine today.,33651,915,0.02719,0.338,0.187,0.271,0.3
SYN00002,synthetic,An incredible experience designed for you.,64272,1651,0.02569,0.41,0.037,0.357,0.4
SYN00003,synthetic,Trusted by millions. Try it free.,68034,1650,0.02425,0.526,0.188,0.594,0.333
SYN00004,synthetic,An incredible experience designed for you.,52720,1142,0.02166,0.414,0.653,0.162,0.396
SYN00005,synthetic,Discover something you'll genuinely love.,65461,2113,0.03228,0.564,0.226,0.588,0.156
SYN00006,synthetic,"The award-winning choice, rated five stars.",23130,1114,0.04816,0.652,0.13,0.79,0.437
SYN00007,synthetic,"Your best results, made easy and fast.",70682,1637,0.02316,0.419,0.561,0.436,0.656
SYN00008,synthetic,Don't miss out -- this offer ends tonight.,51907,698,0.01345,0.223,0.585,0.035,0.406
SYN00009,synthetic,Exclusive deal: get yours now.,13285,718,0.05405,0.498,0.604,0.69,0.359
SYN00010,synthetic,"Proven results, guaranteed satisfaction.",12905,258,0.01999,0.706,0.546,0.267,0.412
SYN00011,synthetic,Upgrade your everyday routine today.,23582,829,0.03515,0.249,0.836,0.289,0.409
SYN00012,synthetic,Limited release -- only a few left this week.,8344,533,0.06388,0.438,0.175,0.72,0.645
SYN00013,synthetic,Exclusive deal: get yours now.,24771,1300,0.05248,0.691,0.313,0.175,0.374
SYN00014,synthetic,"The award-winning choice, rated five stars.",79498,2508,0.03155,0.335,0.574,0.08,0.375
SYN00015,synthetic,"Your best results, made easy and fast.",21487,979,0.04556,0.508,0.596,0.349,0.563
SYN00016,synthetic,Upgrade your everyday routine today.,52000,3062,0.05888,0.32,0.042,0.844,0.213
SYN00017,synthetic,Limited release -- only a few left this week.,78269,742,0.00948,0.225,0.635,0.261,0.296
SYN00018,synthetic,"The award-winning choice, rated five stars.",22498,448,0.01991,0.26,0.351,0.469,0.29
SYN00019,synthetic,Trusted by millions. Try it free.,56605,2897,0.05118,0.478,0.576,0.375,0.695
SYN00020,synthetic,An incredible experience designed for you.,37652,992,0.02635,0.428,0.418,0.43,0.415
SYN00021,synthetic,"Proven results, guaranteed satisfaction.",24968,1182,0.04734,0.519,0.587,0.283,0.33
SYN00022,synthetic,Join thousands of happy customers who already switched.,76156,1515,0.01989,0.243,0.223,0.289,0.289
SYN00023,synthetic,Join thousands of happy customers who already switched.,53566,1616,0.03017,0.569,0.391,0.447,0.285
SYN00024,synthetic,"Your best results, made easy and fast.",36781,682,0.01854,0.224,0.504,0.179,0.174
SYN00025,synthetic,"Your best results, made easy and fast.",65531,1675,0.02556,0.516,0.249,0.602,0.419
SYN00026,synthetic,Upgrade your everyday routine today.,72334,1495,0.02067,0.469,0.406,0.206,0.394
SYN00027,synthetic,Discover something you'll genuinely love.,63174,1755,0.02778,0.143,0.517,0.838,0.122
SYN00028,synthetic,"Proven results, guaranteed satisfaction.",69898,1788,0.02558,0.559,0.165,0.489,0.677
SYN00029,synthetic,Limited release -- only a few left this week.,27794,1157,0.04163,0.365,0.245,0.667,0.284
SYN00030,synthetic,An incredible experience designed for you.,29500,1449,0.04912,0.781,0.541,0.387,0.51
SYN00031,synthetic,Discover something you'll genuinely love.,20916,809,0.03868,0.315,0.494,0.291,0.336
SYN00032,synthetic,"Your best results, made easy and fast.",56592,1107,0.01956,0.713,0.079,0.281,0.494
SYN00033,synthetic,Don't miss out -- this offer ends tonight.,64843,723,0.01115,0.24,0.35,0.453,0.099
SYN00034,synthetic,Trusted by millions. Try it free.,53858,1232,0.02287,0.11,0.129,0.359,0.51
SYN00035,synthetic,Don't miss out -- this offer ends tonight.,49138,5946,0.12101,0.63,0.49,0.614,0.571
SYN00036,synthetic,Limited release -- only a few left this week.,62383,2063,0.03307,0.089,0.073,0.586,0.241
SYN00037,synthetic,Save 30% when you order before midnight.,16972,312,0.01838,0.171,0.337,0.561,0.186
SYN00038,synthetic,"Proven results, guaranteed satisfaction.",31176,1212,0.03888,0.659,0.211,0.6,0.336
SYN00039,synthetic,Upgrade your everyday routine today.,57441,2065,0.03595,0.356,0.173,0.537,0.412
SYN00040,synthetic,Trusted by millions. Try it free.,7022,120,0.01709,0.444,0.379,0.356,0.319
SYN00041,synthetic,"Your best results, made easy and fast.",73138,2841,0.03884,0.591,0.364,0.238,0.092
SYN00042,synthetic,Limited release -- only a few left this week.,16170,365,0.02257,0.568,0.112,0.284,0.293
SYN00043,synthetic,Limited release -- only a few left this week.,63598,1658,0.02607,0.324,0.5,0.489,0.327
SYN00044,synthetic,Exclusive deal: get yours now.,50474,1013,0.02007,0.075,0.367,0.236,0.384
SYN00045,synthetic,Upgrade your everyday routine today.,68266,2847,0.0417,0.219,0.247,0.534,0.451
SYN00046,synthetic,Upgrade your everyday routine today.,62682,1262,0.02013,0.258,0.643,0.161,0.538
SYN00047,synthetic,Upgrade your everyday routine today.,42719,960,0.02247,0.657,0.303,0.516,0.761
SYN00048,synthetic,Don't miss out -- this offer ends tonight.,61215,2554,0.04172,0.707,0.584,0.433,0.423
SYN00049,synthetic,Exclusive deal: get yours now.,29680,331,0.01115,0.136,0.243,0.231,0.581
SYN00050,synthetic,Join thousands of happy customers who already switched.,47943,820,0.0171,0.338,0.1,0.169,0.228
SYN00051,synthetic,An incredible experience designed for you.,73460,4044,0.05505,0.773,0.415,0.75,0.173
SYN00052,synthetic,Trusted by millions. Try it free.,9526,386,0.04052,0.351,0.332,0.45,0.675
SYN00053,synthetic,Join thousands of happy customers who already switched.,30396,1032,0.03395,0.537,0.235,0.199,0.211
SYN00054,synthetic,Upgrade your everyday routine today.,4331,197,0.04549,0.523,0.201,0.73,0.5
SYN00055,synthetic,Discover something you'll genuinely love.,44138,3164,0.07168,0.504,0.543,0.701,0.046
SYN00056,synthetic,Upgrade your everyday routine today.,63224,1675,0.02649,0.32,0.245,0.535,0.645
SYN00057,synthetic,Limited release -- only a few left this week.,5968,129,0.02162,0.162,0.436,0.199,0.11
SYN00058,synthetic,Discover something you'll genuinely love.,45301,1216,0.02684,0.462,0.528,0.28,0.59
SYN00059,synthetic,An incredible experience designed for you.,34971,1341,0.03835,0.562,0.435,0.043,0.416
SYN00060,synthetic,Exclusive deal: get yours now.,63268,1779,0.02812,0.103,0.92,0.202,0.539
SYN00061,synthetic,Don't miss out -- this offer ends tonight.,19950,1284,0.06436,0.814,0.308,0.317,0.398
SYN00062,synthetic,Save 30% when you order before midnight.,15534,284,0.01828,0.033,0.171,0.432,0.504
SYN00063,synthetic,Save 30% when you order before midnight.,10290,449,0.04363,0.054,0.492,0.576,0.292
SYN00064,synthetic,Don't miss out -- this offer ends tonight.,34371,1042,0.03032,0.158,0.448,0.24,0.523
SYN00065,synthetic,Join thousands of happy customers who already switched.,40539,1066,0.0263,0.285,0.142,0.083,0.742
SYN00066,synthetic,"Your best results, made easy and fast.",73776,2490,0.03375,0.395,0.418,0.135,0.531
SYN00067,synthetic,An incredible experience designed for you.,38872,1110,0.02856,0.361,0.41,0.53,0.257
SYN00068,synthetic,"Proven results, guaranteed satisfaction.",16213,687,0.04237,0.405,0.452,0.689,0.578
SYN00069,synthetic,Upgrade your everyday routine today.,56824,1172,0.02063,0.263,0.447,0.31,0.217
SYN00070,synthetic,Save 30% when you order before midnight.,7737,186,0.02404,0.743,0.142,0.426,0.194
SYN00071,synthetic,Save 30% when you order before midnight.,29587,733,0.02477,0.284,0.214,0.672,0.369
SYN00072,synthetic,"Your best results, made easy and fast.",53316,719,0.01349,0.345,0.555,0.333,0.364
SYN00073,synthetic,Join thousands of happy customers who already switched.,22554,664,0.02944,0.162,0.106,0.328,0.429
SYN00074,synthetic,Exclusive deal: get yours now.,48779,997,0.02044,0.367,0.883,0.555,0.434
SYN00075,synthetic,Exclusive deal: get yours now.,37904,1345,0.03548,0.656,0.276,0.578,0.621
SYN00076,synthetic,Save 30% when you order before midnight.,76306,3004,0.03937,0.747,0.174,0.348,0.385
SYN00077,synthetic,"The award-winning choice, rated five stars.",25133,1255,0.04993,0.537,0.6,0.534,0.564
SYN00078,synthetic,Discover something you'll genuinely love.,72798,1316,0.01808,0.424,0.571,0.235,0.743
SYN00079,synthetic,Upgrade your everyday routine today.,51192,1436,0.02805,0.333,0.339,0.4,0.569
SYN00080,synthetic,"Proven results, guaranteed satisfaction.",60706,2329,0.03837,0.544,0.325,0.431,0.474
SYN00081,synthetic,An incredible experience designed for you.,15996,377,0.02357,0.275,0.356,0.213,0.399
SYN00082,synthetic,Save 30% when you order before midnight.,4475,257,0.05743,0.51,0.197,0.238,0.669
SYN00083,synthetic,"Your best results, made easy and fast.",59268,1334,0.02251,0.412,0.793,0.301,0.373
SYN00084,synthetic,"The award-winning choice, rated five stars.",39989,674,0.01685,0.453,0.65,0.596,0.478
SYN00085,synthetic,Join thousands of happy customers who already switched.,26781,1597,0.05963,0.664,0.577,0.636,0.574
SYN00086,synthetic,Save 30% when you order before midnight.,71999,1614,0.02242,0.144,0.613,0.635,0.319
SYN00087,synthetic,Limited release -- only a few left this week.,28140,362,0.01286,0.447,0.328,0.605,0.114
SYN00088,synthetic,An incredible experience designed for you.,36391,831,0.02284,0.376,0.07,0.276,0.392
SYN00089,synthetic,Don't miss out -- this offer ends tonight.,58763,3136,0.05337,0.505,0.121,0.767,0.496
SYN00090,synthetic,Exclusive deal: get yours now.,77085,1126,0.01461,0.491,0.435,0.046,0.383
SYN00091,synthetic,Upgrade your everyday routine today.,72221,6656,0.09216,0.456,0.131,0.58,0.824
SYN00092,synthetic,Don't miss out -- this offer ends tonight.,53241,1366,0.02566,0.633,0.46,0.434,0.454
SYN00093,synthetic,"Your best results, made easy and fast.",11500,351,0.03052,0.741,0.165,0.139,0.534
SYN00094,synthetic,Don't miss out -- this offer ends tonight.,11428,202,0.01768,0.355,0.41,0.322,0.528
SYN00095,synthetic,Exclusive deal: get yours now.,56350,1175,0.02085,0.26,0.316,0.426,0.122
SYN00096,synthetic,"The award-winning choice, rated five stars.",42213,606,0.01436,0.086,0.216,0.153,0.129
SYN00097,synthetic,Limited release -- only a few left this week.,13249,303,0.02287,0.784,0.437,0.358,0.706
SYN00098,synthetic,Upgrade your everyday routine today.,56562,4229,0.07477,0.188,0.705,0.196,0.444
SYN00099,synthetic,Discover something you'll genuinely love.,75557,2009,0.02659,0.332,0.75,0.492,0.387
SYN00100,synthetic,Join thousands of happy customers who already switched.,8033,199,0.02477,0.377,0.174,0.507,0.348
SYN00101,synthetic,Limited release -- only a few left this week.,66575,1979,0.02973,0.233,0.362,0.103,0.293
SYN00102,synthetic,Limited release -- only a few left this week.,29538,1911,0.0647,0.349,0.402,0.412,0.69
SYN00103,synthetic,Save 30% when you order before midnight.,33629,2320,0.06899,0.738,0.614,0.498,0.669
SYN00104,synthetic,Limited release -- only a few left this week.,58215,574,0.00986,0.025,0.174,0.055,0.301
SYN00105,synthetic,Discover something you'll genuinely love.,22009,682,0.03099,0.261,0.616,0.497,0.465
SYN00106,synthetic,Don't miss out -- this offer ends tonight.,15094,225,0.01491,0.255,0.215,0.611,0.665
SYN00107,synthetic,Save 30% when you order before midnight.,77217,3825,0.04954,0.497,0.415,0.721,0.404
SYN00108,synthetic,Limited release -- only a few left this week.,29822,362,0.01214,0.154,0.465,0.474,0.206
SYN00109,synthetic,"Your best results, made easy and fast.",16057,268,0.01669,0.254,0.268,0.178,0.459
SYN00110,synthetic,Limited release -- only a few left this week.,56123,1239,0.02208,0.251,0.362,0.446,0.28
SYN00111,synthetic,Trusted by millions. Try it free.,19687,717,0.03642,0.381,0.245,0.458,0.678
SYN00112,synthetic,"The award-winning choice, rated five stars.",62716,2037,0.03248,0.303,0.557,0.545,0.673
SYN00113,synthetic,"The award-winning choice, rated five stars.",8426,476,0.05649,0.208,0.187,0.725,0.544
SYN00114,synthetic,Join thousands of happy customers who already switched.,42925,1705,0.03972,0.592,0.079,0.406,0.483
SYN00115,synthetic,Save 30% when you order before midnight.,34027,1511,0.04441,0.671,0.596,0.439,0.377
SYN00116,synthetic,Limited release -- only a few left this week.,76678,1837,0.02396,0.517,0.343,0.393,0.795
SYN00117,synthetic,"Your best results, made easy and fast.",43138,2081,0.04824,0.719,0.24,0.364,0.095
SYN00118,synthetic,Limited release -- only a few left this week.,74250,1310,0.01764,0.213,0.383,0.477,0.3
SYN00119,synthetic,Trusted by millions. Try it free.,22136,1235,0.05579,0.519,0.418,0.216,0.383
SYN00120,synthetic,Save 30% when you order before midnight.,39454,2455,0.06222,0.258,0.272,0.598,0.488
SYN00121,synthetic,"Your best results, made easy and fast.",65664,2572,0.03917,0.563,0.455,0.473,0.387
